,text,category,rank
9389,6.5,SLEEP,2
9390,Can still save the day,STRESS,Can't rate
9391,8 hours ,SLEEP,4
9392,9 hours,SLEEP,4
9393,"Ya I ran ten minutes to the gym, then did the second workout you sent me, then did some upper body strengthening so the TRX pull-ups and weights for triceps (4 rounds 12 times for each workout), then 2 minute plank and another 15 minute run back",WORKOUT,3
9394,Drank enough and wasn't stressed,STRESS,1
9395,631,WATER,4
9396,8 hours,SLEEP,4
9397,On point,FOOD,4
9398,No I didn't workout today ,WORKOUT,Can't rate
9399,Slept 8 hours!,SLEEP,4
9400,Workout was good - did a boxing class,WORKOUT,Can't rate
9401,Handling stress...doing some entertaining today ,STRESS,3
9402,Intention...work out ,WORKOUT,Can't rate
9403,Breakfast was meh - spoonful of peanut butter and some popcorn ,FOOD,3
9404,6 ,SLEEP,2
9405,Need to step it up,FOOD,2
9406,32oz down!,WATER,3
9407,8+ hrs,SLEEP,4
9408,Stress free,STRESS,4
9409,64oz down,WATER,4
9410,64oz for sure,WATER,4
9411,7 hrs broken ,SLEEP,3
9412,Handled what was thrown my way ,STRESS,3
9413,Almost perfect ,FOOD,3
9414,Yes. Nice and slow day one ,WORKOUT,Can't rate
9415,Got 8 hours of sleep,SLEEP,4
9416,8 hours of sleep,SLEEP,4
9417,Almost perfect food,FOOD,3
9418,A few sips here and there but not enough,WATER,2
9419,Handled what was thrown at me,STRESS,Can't rate
9420,Stress free,STRESS,4
9421,7,SLEEP,3
9422,Handling,STRESS,3
9423,Almost perfect,FOOD,3
9424,64,WATER,4
9425,On point,FOOD,4
9426,8+ hours,SLEEP,4
9427,8+ hrs,SLEEP,4
9428,8+,SLEEP,4
9429,5am,SLEEP,Can't rate
9430,9:30pm,SLEEP,4
9431,4pm but will be changing to 530a shortly ,WORKOUT,Can't rate
9432,Not good . All garbage ,FOOD,1
9433, 9,SLEEP,4
9434,6,SLEEP,2
9435,Sips,WATER,2
9436,On point,FOOD,4
9437,Handling,STRESS,3
9438,64 for sure ,WATER,4
9439,Food-on point ,FOOD,4
9440,On point with food,FOOD,4
9441,32 oz ,WATER,3
9442,Lazy day today! Didn't focus on Much ,STRESS,Can't rate
9443,One word to describe my day - my child wild day hormonal! ,STRESS,Can't rate
9444,6,SLEEP,2
9445,7,SLEEP,3
9446,6,SLEEP,2
9447,8,SLEEP,4
9448,Less than 5,SLEEP,1
9449,7,SLEEP,3
9450,Need to step up,FOOD,2
9451,7 hours ,SLEEP,3
9452,Almost perfect ,FOOD,3
9453,Stress free,STRESS,4
9454,Yes,WORKOUT,Can't rate
9455,5,SLEEP,1
9456,7 hours ,SLEEP,3
9457,7,SLEEP,3
9458,6.5,SLEEP,2
9459,Stress free,STRESS,4
9460,On point ,FOOD,4
9461,On point ,FOOD,4
9462,Good,FOOD,4
9463,Handled what was thrown my way well,STRESS,3
9464,6,SLEEP,2
9465,Started a new morning routine. Stayed too late at the office and now don't have much time with the boys. ,WATER,Can't rate
9466,Slept 5 hours,SLEEP,1
9467,Stress free ,STRESS,4
9468,Yes. CrossFit ,WORKOUT,4
9469,6 ,SLEEP,2
9470,Less than 5 ,SLEEP,2
9471,I had trouble sleeping ,SLEEP,Can't rate
9472,On point,FOOD,4
9473,64oz for sure,WATER,4
9474,24 oz,WATER,2
9475,"I ate really well today,  nothing processed! I could have accomplished more at work",FOOD,3
9476,8,SLEEP,4
9477,zero ,STRESS,Can't rate
9478,not bad,FOOD,Can't rate
9479,yes,WORKOUT,Can't rate
9480,And I haven't worked out in 2 weeks ,SLEEP,1
9481,I'm drinking alcohol ,WATER,Can't rate
9482,Shut up ,WORKOUT,Can't rate
9483,7 hours ,SLEEP,3
9484,Food is on point ,FOOD,4
9485,64oz for sure,WATER,4
9486,Handled what was thrown my way,STRESS,3
9487,About 5 hrs ,SLEEP,2
9488,No,WORKOUT,Can't rate
9489,7!,SLEEP,3
9490,7 hours,SLEEP,3
9491,Yes,WORKOUT,4
9492,Almost perfect,FOOD,3
9493,8,SLEEP,4
9494,Less than 5 hours ,SLEEP,2
9495,6,SLEEP,2
9496,Sunday at 9 am ,SLEEP,4
9497,Not yet ,FOOD,1
9498,Fine I had banana and granola bar for breakfast and avocado toast with egg tomato and onion for lunch ,FOOD,3
9499,Stress free. ,STRESS,4
9500,6,SLEEP,2
9501,8+ hours,SLEEP,4
9502,Almost perfect,FOOD,3
9503,Overwhelmed,STRESS,2
9504,64 oz,WATER,4
9505,7 hours,SLEEP,3
9506,Last night I got 6hrs it sleep ,SLEEP,2
9507,Almost perfect food,FOOD,3
9508,No I'm working out,WORKOUT,3
9509,64+,WATER,4
9510,Yesterday I had a great day with work and catching up with one of my coaches on life in general. It was a great convo. Bad part is I aggravated my back again. Going to a chiropractor Tuesday ,WORKOUT,Can't rate
9511,I feel better than yesterday lol,SLEEP,Can't rate
9512,Stress free,STRESS,4
9513,7,SLEEP,3
9514,7hrs ,SLEEP,3
9515,6 ,SLEEP,2
9516,5,SLEEP,2
9517,Yes ,WORKOUT,Can't rate
9518,No. Probably will tonight. I have been getting it in at night the past couple of days. Schedule is still a bit off coming back from vacation ,SLEEP,4
9519,Handled decently ,STRESS,3
9520,6 ,WORKOUT,Can't rate
9521,On point ,FOOD,4
9522,64,WATER,4
9523,5,SLEEP,2
9524,Need to step it up,FOOD,2
9525,Stress free ,STRESS,4
9526,8,SLEEP,4
9527,7.5,SLEEP,3
9528,Yes,WORKOUT,4
9529,Yes,FOOD,Can't rate
9530,7 ,SLEEP,3
9531,7,SLEEP,3
9532,Less than 5 hrs,SLEEP,2
9533,Stress free ,STRESS,4
9534,64oz,WATER,4
9535,Street free,STRESS,4
9536,Meal choices ,FOOD,3
9537,Yes,WORKOUT,Can't rate
9538,Almost perfect ,FOOD,3
9539,6.8,SLEEP,2
9540,Need to step it up,FOOD,2
9541,7 hrs,SLEEP,3
9542,32oz down! ,WATER,3
9543,Handled it for ,STRESS,Can't rate
9544,"Feeling soooo bloated from days of holiday parties, looking forward to regrouping.  And trying to get organized with gym time, my husband being away until the 28th and the kids being home from school! ",WORKOUT,Can't rate
9545,Yes I worked out! ,WORKOUT,3
9546,"Boost/build on my own + some tempo squats, not the same but mission accomplished ",WORKOUT,1
9547,"Yes, 64 down!",WATER,4
9548,64oz for sure,WATER,4
9549,8ish,SLEEP,4
9550,Less than 5,SLEEP,2
9551,Overwhelmed but trying ,STRESS,2
9552,On point,FOOD,4
9553,64 fo sho homey,WATER,4
9554,"My autocorrect would've replaced bread with ""flax crackers"" or some shit.",FOOD,3
9555,Despite being exhausted and not getting to work out I was a fucking awesome wife and mom today. I did bad drugs. Lots. And it feels so good.,SLEEP,2
9556,No,WORKOUT,Can't rate
9557,8 hours ,SLEEP,4
9558,Drank a lot and was very stressed today ,STRESS,1
9559,Not yet rowing later,WORKOUT,Can't rate
9560,"Fine I had a banana and a granola bar for breakfast and a salad with chicken, cabbage, carrots, cilantro, and lettuce for lunch with some crackers ",FOOD,3
9561,6.5 hours,SLEEP,3
9562,I worked out,WORKOUT,3
9563,8 hrs,SLEEP,4
9564,Stress free,STRESS,4
9565,In point,FOOD,4
9566,64,WATER,4
9567,Yes ,WORKOUT,4
9568,5,SLEEP,1
9569,No ,WORKOUT,1
9570,7,SLEEP,3
9571,Stress free ,STRESS,4
9572,On point ,FOOD,4
9573,64,WATER,4
9574,Less than 5 due to head cold,SLEEP,2
9575,Overwhelmed,STRESS,2
9576,On point.  ,FOOD,4
9577,7,SLEEP,3
9578,Yes ,WORKOUT,Can't rate
9579,Almost perfect ,FOOD,3
9580,7,SLEEP,3
9581,Handled stress ,STRESS,3
9582,On point ,FOOD,4
9583,7,SLEEP,3
9584,Not yet,FOOD,1
9585,Stress free,STRESS,4
9586,Almost perfect ,FOOD,3
9587,Good ,FOOD,4
9588,6,WORKOUT,Can't rate
9589,7 hrs of sleep,SLEEP,3
9590,Need to step it up ,FOOD,2
9591,32 oz,WATER,3
9592,Stress free ,STRESS,4
9593,"Rest day, doing small workout at home ",WORKOUT,Can't rate
9594,Didn't eat the best today but drank a good amount of water ,WATER,Can't rate
9595,Good ,FOOD,4
9596,4,SLEEP,1
9597,9.5!,SLEEP,4
9598,"Needed it! Good, working on b school applications. Yourself?",WORKOUT,4
9599,"Good! Essays are key here. Test taking never my strength, so gotta shine with these.",WORKOUT,4
9600,"Worked out 3x

Still smoking.",SLEEP,1
9601,Not good ,FOOD,1
9602,Only 32oz,WATER,3
9603,Not my best day ,FOOD,1
9604,"I haven't eaten bad, I just haven't eaten much today. Need to try and eat more ",FOOD,Can't rate
9605,Yes,WORKOUT,Can't rate
9606,"Feeling overwhelmed, this week has been a struggle and I feel like it's effecting me in many ways",STRESS,2
9607,8,SLEEP,4
9608,Derailed ,STRESS,Can't rate
9609,Stress free ,STRESS,4
9610,Stress free ,STRESS,4
9611,On point ,FOOD,4
9612,8 hours ,SLEEP,4
9613,64 ,WATER,4
9614,Good ,FOOD,4
9615,6!,SLEEP,2
9616,6 hours ,SLEEP,2
9617,8,SLEEP,4
9618,5.5 hours ,SLEEP,2
9619,8 hours,SLEEP,4
9620,7+ hours,SLEEP,3
9621,Didn't work out,WORKOUT,Can't rate
9622,I hired a coach for my marathon. I could done more water/food,FOOD,4
9623,8 hours,SLEEP,4
9624,On point,FOOD,4
9625,Stress free,STRESS,4
9626,6:31:27,SLEEP,2
9627,Need to step it up ,FOOD,2
9628,8,SLEEP,4
9629,8,SLEEP,4
9630,8+,SLEEP,4
9631,4.5 hours of slee,SLEEP,1
9632,Need to step it up ,FOOD,2
9633,Can we turn off the regular reminders for water ,WATER,Can't rate
9634,Just stick with the one at 4pm asking if I got all my water,WATER,1
9635,Didn't workout,WORKOUT,Can't rate
9636,7,SLEEP,3
9637,Need to step it up,FOOD,2
9638,Handled what was thrown my way,STRESS,3
9639,64 for sure,WATER,4
9640,I completed my mile a day ,WORKOUT,Can't rate
9641,No,WORKOUT,Can't rate
9642,7 hrs,SLEEP,3
9643,Stressed but handling it,STRESS,1
9644,No workout,WORKOUT,1
9645,Last night I got about 8 hours of sleep,SLEEP,4
9646,Ok so yesterday great day spending time with the family on Halloween 🎃 ,SLEEP,Can't rate
9647,8+,SLEEP,4
9648,Not yet,FOOD,1
9649,Just did interval workout on treadmill 30 mins,WORKOUT,Can't rate
9650,Just did interval workout on treadmill 30 mins,WORKOUT,Can't rate
9651,On point ,FOOD,4
9652,64 oz,WATER,4
9653,Stress free,STRESS,4
9654,Exercised and ate well ,FOOD,Can't rate
9655,Almost perfect. ,FOOD,3
9656,56,WATER,3
9657,Yes need to get that 20 oz first thing. ,WATER,2
9658, 6.5,SLEEP,2
9659,Less than 5 hrs,SLEEP,2
9660,It's my rest day.  No biggie ,WORKOUT,Can't rate
9661,Almost 7,SLEEP,3
9662,Slept 7 hours,SLEEP,3
9663,Stress free today ,STRESS,4
9664,Breakfast was a banana and pb,FOOD,4
9665,7.5 ,SLEEP,3
9666,Not ya ,WORKOUT,Can't rate
9667,Stressed bc college ,STRESS,1
9668,But handled it ,STRESS,Can't rate
9669,60 oz,WATER,3
9670,Ate well,FOOD,Can't rate
9671,"Had a oat breakfast kind bar, a big salad for lunch, and sushi for dinner ",FOOD,3
9672,I was hungry before dinner but it took my a while to get hungry ,FOOD,3
9673,8,SLEEP,4
9674,Slept 7 hours,SLEEP,3
9675,Stress free,STRESS,4
9676,Drank 64 oz ,WATER,4
9677,8+ hours of sleep last night,SLEEP,4
9678,Stress free today.,STRESS,4
9679,Need to step it up,FOOD,2
9680,64 oz for sure,WATER,4
9681,"And yes, I did workout!",WORKOUT,1
9682,6,SLEEP,2
9683,Handling,STRESS,3
9684,I see one on Aug 3 and one on Aug 7.  That's it ,SLEEP,1
9685,On point,FOOD,4
9686,32,WATER,3
9687,5 HS,SLEEP,2
9688,Hours ,SLEEP,1
9689,Stress free ,STRESS,4
9690,Need to step it up ,FOOD,2
9691,32oz,WATER,3
9692,5,SLEEP,2
9693,On point,FOOD,4
9694,7,SLEEP,3
9695,8,SLEEP,4
9696,6 hours,SLEEP,2
9697,On point,FOOD,4
9698,Stress free now.🤑,STRESS,4
9699,"16 hour fast!  I made it!

Still smoking.",SLEEP,4
9700,7,SLEEP,3
9701,So yesterday - stress free,STRESS,4
9702,Had 64+ oz water,WATER,4
9703,4,SLEEP,1
9704,Healthy,FOOD,Can't rate
9705,8,SLEEP,4
9706,6.5,SLEEP,2
9707,On point,FOOD,4
9708,Free,STRESS,4
9709,64,WATER,4
9710,Could have worked out harder,WORKOUT,3
9711,Yes ,WORKOUT,Can't rate
9712,Stress fre,STRESS,Can't rate
9713,"I had avocado toast for breakfast, a chicken cutlet mozz tomato sandwich for lunch, and thanksgiving leftovers for dinner ",FOOD,3
9714,And yes I ran 3 miles today,WORKOUT,3
9715,6,SLEEP,2
9716,Slept 8 hours,SLEEP,4
9717,No workout today,WORKOUT,1
9718,Moderately stressed ,STRESS,1
9719,Slept 5 hours,SLEEP,2
9720,6hrs,SLEEP,2
9721,6 hrs,SLEEP,2
9722,64,WATER,4
9723,8,SLEEP,4
9724,6 hours.  ,SLEEP,2
9725,Big Sunday dinner. Pretty  unhealthy but I'm done for the night. Overall good long weekend with thanksgiving. Workouts were on point since Wednesday also ,WORKOUT,Can't rate
9726,80,WATER,4
9727,👍🏻,FOOD,Can't rate
9728,Stress free ,STRESS,4
9729,Less than 5 ,SLEEP,2
9730,A few sips ,WATER,2
9731,No. Rest day. Maybe go for a run later ,WORKOUT,Can't rate
9732,Need to step it up,FOOD,2
9733,Slept about 6.5 hrs ,SLEEP,3
9734,On point ,FOOD,4
9735,8 hours ,SLEEP,4
9736,8+ hours,SLEEP,4
9737,On point ,FOOD,4
9738,More like 32oz,WATER,3
9739,Very stressed right now due to bookkeeper situation.,STRESS,1
9740,Less than 5 sleep,SLEEP,2
9741,Food on point,FOOD,4
9742,45 oz water,WATER,3
9743,"Worked out and ate well.

Could have showered more often.",WORKOUT,3
9744,Yes,WORKOUT,Can't rate
9745,"Hi hi, sorry, I've been driving all morning. Just parked to get something to eat...starving. Omelette is the plan...",FOOD,1
9746,Need to step it up ,FOOD,2
9747,Stress free ,STRESS,4
9748,64 oz ,WATER,4
9749,8,WORKOUT,Can't rate
9750,Golf today ,WORKOUT,Can't rate
9751,Less than 5,SLEEP,1
9752,8+,SLEEP,4
9753,Handling it,STRESS,3
9754,On point,FOOD,4
9755,64,WATER,4
9756,"Delivered a job and got some extra work from the customer!  Yay! 

Work on my delivery of our work, praise our work more",WORKOUT,Can't rate
9757,Yes,WORKOUT,Can't rate
9758,8+ ,SLEEP,4
9759,8+ ,SLEEP,4
9760,Not yet,FOOD,1
9761,8+ ,SLEEP,4
9762,On point,FOOD,4
9763,32 oz,WATER,3
9764,Handled what was thrown my way well,STRESS,3
9765,Didn't workout ,WORKOUT,Can't rate
9766,Stress free ,STRESS,4
9767,64 oz ,WATER,4
9768,8,SLEEP,4
9769,7 hours ,SLEEP,3
9770,Stress free,STRESS,4
9771,8 hours,SLEEP,4
9772,Need to step up,FOOD,2
9773,Overwhelmed,STRESS,2
9774,8,SLEEP,4
9775,32oz. ,WATER,3
9776,Got plenty of sleep and a great workout. Didn't manage my stress well ,SLEEP,Can't rate
9777,Yes,WORKOUT,4
9778,Slept 8 hours ,SLEEP,4
9779,No workout today...stretching ,WORKOUT,1
9780,7,SLEEP,3
9781,8hrs,SLEEP,4
9782,7,SLEEP,3
9783,5 hrs,SLEEP,2
9784,Yes,WORKOUT,Can't rate
9785,6 hrs,SLEEP,2
9786,About 4 hrs ,SLEEP,1
9787,Stress free! But I get anxious about flying ,STRESS,4
9788,I have a book!!! but my stress just skyrocketed because my plane is delayed because of cockpit issues ,STRESS,3
9789,"Not a good day at all, didn't eat good, didn't drink enough water. Totally stressed out. I've been sitting in the airport since 8am this morning. My flight went from leaving at 10:50 am to hopefully leaving at 12:35am
",STRESS,1
9790,Not good,FOOD,1
9791,Ate way too much airport food!!!!,FOOD,Can't rate
9792,No ,WORKOUT,Can't rate
9793,6 hrs,SLEEP,2
9794,"Stress free, we in miamiiiiii",STRESS,4
9795,Need to step it up,FOOD,2
9796,64 oz fo sho,WATER,4
9797,Loved today! Did not eat well.,FOOD,Can't rate
9798,No,WORKOUT,Can't rate
9799,110 ozs ,WATER,4
9800,5.5 ,SLEEP,2
9801,Good,FOOD,4
9802,Build evil empire,WORKOUT,Can't rate
9803,6 am,SLEEP,2
9804,12 pm,SLEEP,4
9805,6 pm,WORKOUT,Can't rate
9806,"Hey, my current weight is 120lbs, i'm so fat :(",SLEEP,4
9807,8,SLEEP,4
9808,8,SLEEP,4
9809,4,SLEEP,1
9810,Shitty 1,SLEEP,1
9811,Sips,WATER,2
9812,Aaaaaaagggggggjhhhhhhhhhhhhhhhhh¡!!!!!!!!!!!!!!!!!!!!!!!!!,STRESS,Can't rate
9813,8,SLEEP,4
9814,"Only had oatmeal with banana & strawberries today. 
Not really hungry. ",FOOD,4
9815,Didn't meal prep :( ,FOOD,3
9816,7 hours ,SLEEP,3
9817,64oz for sure ,WATER,4
9818,Yes I worked out. I did CrossFit and ran 2 miles.,WORKOUT,3
9819,Handled what was thrown my way,STRESS,3
9820,My profession is teacher,STRESS,2
9821,I pushed myself to workout today when I was dragging my feet. ,WORKOUT,1
9822,On point ,FOOD,4
9823,7 hours,SLEEP,3
9824,Yes...build,WORKOUT,Can't rate
9825,Handling it...just got to my parents',STRESS,Can't rate
9826,8+,SLEEP,4
9827,Not yet,FOOD,1
9828,Almost perfect ,FOOD,3
9829,64 for sure ,WATER,4
9830,Stress free,STRESS,4
9831,6 hours ,SLEEP,2
9832,6hrs ,SLEEP,2
9833,Handled what thrown my way ,STRESS,3
9834,Need to step it up,FOOD,2
9835,32oz,WATER,3
9836,5,SLEEP,2
9837,Stress free ,STRESS,4
9838,On point ,FOOD,4
9839,32oz,WATER,3
9840,Yes ,FOOD,Can't rate
9841,Handled ,STRESS,3
9842,6.5,SLEEP,2
9843,7 hours,SLEEP,3
9844,8+,SLEEP,4
9845,Stress free,STRESS,4
9846,On point ,FOOD,4
9847,64oz,WATER,4
9848,Oh wait I did register for my next goal of the Pelham 10k in 5 weeks!,SLEEP,4
9849,Yes,FOOD,Can't rate
9850,5,SLEEP,2
9851,8,SLEEP,4
9852,Yes,WORKOUT,Can't rate
9853,About 6.5 hrs ,SLEEP,3
9854,Less than 5,SLEEP,1
9855,3,SLEEP,1
9856,8 hours sleep ,SLEEP,4
9857,Handled why was thrown my way ,STRESS,3
9858,8,SLEEP,4
9859,Yes ,WORKOUT,Can't rate
9860,Almost perfect ,FOOD,3
9861,64,WATER,4
9862,7 hours,SLEEP,3
9863,I worked out,WORKOUT,3
9864,Eating Whole Foods,FOOD,Can't rate
9865,Handling,STRESS,3
9866,Can still save the day!,STRESS,Can't rate
9867,48,WATER,3
9868,Handled what was thrown my way,STRESS,3
9869,Almost perfect,FOOD,3
9870,Good,FOOD,4
9871,8,SLEEP,4
9872,32,WATER,3
9873,5 hrs,SLEEP,2
9874,7,SLEEP,3
9875,Not yet and 6/7,SLEEP,2
9876,On point,FOOD,4
9877,Stress free,STRESS,4
9878,64 for sure,WATER,4
9879,7 hours,SLEEP,3
9880,On point ,FOOD,4
9881,8 hours,SLEEP,4
9882,Not yet ,FOOD,1
9883,Today I ate well and drank a lot ,FOOD,Can't rate
9884,Plenty of water,WATER,Can't rate
9885,derailed,STRESS,Can't rate
9886,gret,FOOD,Can't rate
9887,"I didnt eat junk food for snacks, i should have had less beer",FOOD,1
9888,Not yet,FOOD,1
9889,8,SLEEP,4
9890,7 hours ,SLEEP,3
9891,Food is on point ,FOOD,4
9892,Stress free ,STRESS,4
9893,8,SLEEP,4
9894,Thank you ,STRESS,Can't rate
9895,"Slept around 8 hours. I need to reign in the food today, I've been off the past two evenings. Aiming for a clean, light day",SLEEP,4
9896,"I'm going to take today off from working out, but will probably take a walk",WORKOUT,3
9897,"Food is good, had a smoothie",FOOD,4
9898,120 oz - I'm at the pool and it's hot!,WATER,4
9899,It's fine...handling it,STRESS,Can't rate
9900,7hrs,SLEEP,3
9901,My day was stress free,WATER,Can't rate
9902,My food was almost perfect ,FOOD,3
9903,My water was not enough ,WATER,2
9904,5+,SLEEP,2
9905,Handled what is being thrown at me,STRESS,3
9906,Yes,WORKOUT,Can't rate
9907,On point,FOOD,4
9908,8,SLEEP,4
9909,Yes ,WORKOUT,4
9910,8+ hrs,SLEEP,4
9911,Stress free,STRESS,4
9912,64 oz for sure,WATER,4
9913,"I had a great workout and pushed myself hard on the last round. 
I could really have done better with my mood towards the end of the day.",WORKOUT,Can't rate
9914,No,WORKOUT,Can't rate
9915,On point!,FOOD,4
9916,7,SLEEP,3
9917,For sure on point!,FOOD,4
9918,7 hrs,SLEEP,3
9919,"It was good! Only got in 1.5 miles. 
Brianna woke up and creeped into the gym😂",WORKOUT,4
9920,50 oz,WATER,3
9921,Yes ,WORKOUT,Can't rate
9922,Not good,FOOD,1
9923,32 oz,WATER,3
9924,Didn't workout,WORKOUT,Can't rate
9925,Didn’t workout,WORKOUT,Can't rate
9926,Bad day overall.  Unproductive and didn't eat well. ,FOOD,Can't rate
9927,7-7,SLEEP,3
9928,7-8,SLEEP,3
9929,Almost perfect,FOOD,3
9930,32 oz,WATER,3
9931,Handled what was thrown my way well,STRESS,3
9932,"Ate very well, drank a good amount of water and got my lift in despite feeling shitty from the weekend ",WATER,Can't rate
9933,Currently am,WORKOUT,Can't rate
9934,Did not workout yesterday. Still sick. ,WORKOUT,Can't rate
9935,8+ hours ,SLEEP,4
9936,6,SLEEP,2
9937,5,SLEEP,2
9938,8 hours,SLEEP,4
9939,Drank a lot and have no stress as of now,STRESS,4
9940,I had cereal and fruit for breakfast and rice chicken and plantains for lunch ,FOOD,3
9941,Great I'm so tired tho lol,STRESS,Can't rate
9942,"I ate generally well and balanced meals, but was so tired all day so I slept a lot ",FOOD,1
9943,Not yet on the road ,WORKOUT,Can't rate
9944,5hr,SLEEP,2
9945,6,SLEEP,2
9946,Not yet.  ,FOOD,1
9947,Handled ,STRESS,1
9948,8+ hrs,SLEEP,4
9949,I did a workout at home!,WORKOUT,Can't rate
9950,Slept 8 hours ,SLEEP,4
9951,Not stressed,STRESS,1
9952,Stress free ,STRESS,4
9953,6,SLEEP,2
9954,Havnt eaten yet ,FOOD,1
9955,64 ounces ,WATER,4
9956,Barely ate 1 so far,FOOD,Can't rate
9957,7,SLEEP,3
9958,7-8,SLEEP,3
9959,Food. High carbs,FOOD,Can't rate
9960,About 6 hrs ,SLEEP,2
9961,"I shut down today, haven't eaten much and water is about 64oz",WATER,4
9962,7,SLEEP,3
9963,Not yet because of the rain but I'll jog for 5 min at the start of my walk .. rain should go away early afternoon ,WORKOUT,5
9964,Low,STRESS,3
9965,Stress free,STRESS,4
9966,6.5,SLEEP,2
9967,Yes,WORKOUT,Can't rate
9968,8,SLEEP,4
9969,Yes,WORKOUT,Can't rate
9970,7-8,SLEEP,3
9971,Need to step it up ,FOOD,2
9972,Handling ,STRESS,3
9973,On point ,FOOD,4
9974,64 oz fo sho,WATER,4
9975,6.5,SLEEP,2
9976,Yes,WORKOUT,Can't rate
9977,7,SLEEP,3
9978,6.5 hrs. ,SLEEP,3
9979,Stress free ,STRESS,4
9980,Yes,WORKOUT,Can't rate
9981,Not stressed ,STRESS,1
9982,Good workout,WORKOUT,Can't rate
9983,Slept 9,SLEEP,4
9984,"Ate a large salad for early lunch with chicken, walnuts, and apples",FOOD,3
9985,And had chicken Marsala and Latkas for dinner for hannukah ,FOOD,3
9986,8+,SLEEP,4
9987,5 hours last night. ,SLEEP,2
9988,On point ,FOOD,4
9989,Stress free ,STRESS,4
9990,90 ozs ,WATER,4
9991,Took the day off ,STRESS,Can't rate
9992,6 hrs,SLEEP,2
9993,Handled what was thrown my way well ,STRESS,3
9994,No,WORKOUT,Can't rate
9995,5 hours ,SLEEP,1
9996,Handling ,STRESS,3
9997,On point,FOOD,4
9998,64 fo sho 🙌 ,WATER,4
9999,Had a great week and plan on crushing today - ate like shit yesterday (out of office in NYC for meeting and hit up my favorite burger joint and then had an unplanned dinner at LaRosa's) Weekend will be a productive one,FOOD,4
10000,Handled,STRESS,3
10001,I’m driving with Do Not Disturb While Driving turned on. I’ll see your message when I get where I’m going.,WORKOUT,Can't rate
10002,Really haven't eaten ,FOOD,Can't rate
10003,8+,SLEEP,4
10004,Not yet,FOOD,1
10005,About 6 hrs ,SLEEP,2
10006,"I was very overwhelmed this morning, but got through it. ",STRESS,2
10007,7 hrs,SLEEP,3
10008,6,SLEEP,2
10009,Sunday at 9 am ,SLEEP,4
10010,Stressed we will see if derailed or not ,STRESS,1
10011,8+,SLEEP,4
10012,No. May workout later or may take the day off. Body is sore ,WORKOUT,Can't rate
10013,64+ for sure ,WATER,4
10014,Crushed the kpmg call. Crappy range outing then ate 4 slices of pizza ,FOOD,3
10015,On pong ,FOOD,Can't rate
10016,"Not sure, not many",SLEEP,Can't rate
10017,Yes,WORKOUT,Can't rate
10018,8,SLEEP,4
10019,6,SLEEP,2
10020,Stress free,STRESS,4
10021,On point,FOOD,4
10022,64! ,WATER,4
10023,"Had a great relaxing day.  Did some good good work to give me a relaxing Sunday.  

Didn't hydrate enough ",WORKOUT,Can't rate
10024,No ,STRESS,Can't rate
10025,7,WORKOUT,Can't rate
10026,8 am,SLEEP,4
10027,11 pm,SLEEP,4
10028,6 pm,WORKOUT,Can't rate
10029,Great!,SLEEP,Can't rate
10030,6.5 hours ,SLEEP,3
10031,7,SLEEP,3
10032,Handled what was thrown my way.  ,STRESS,3
10033,Need to step it up ,FOOD,2
10034,Rested,SLEEP,4
10035,Thank you getting ready for the gym ,WORKOUT,Can't rate
10036,"Handled a budget call well and had a killer workout.  Oh, I sent my show materials requested by a contest I placed in for promotion. ",WORKOUT,Can't rate
10037,5.5,SLEEP,2
10038,Handled ,STRESS,3
10039,On point ,FOOD,4
10040,7,SLEEP,3
10041,Yes,WORKOUT,4
10042,7,SLEEP,3
10043,Good,FOOD,4
10044,6 hours ,SLEEP,2
10045,Didn't workout ,WORKOUT,Can't rate
10046,"So, on point",FOOD,4
10047,NOT GOOD IM HUNGRY I HATE JUICING I THINK IM DYING ,FOOD,4
10048,Stress free ,STRESS,4
10049,On point ,FOOD,4
10050,Sorry haha - 5 hours ,SLEEP,2
10051,"Ran 500, walked 100, ran 100, walked 100, ran 200...my goal was 1000",WORKOUT,3
10052,You know it! Boost :),WORKOUT,Can't rate
10053,Handling it...but just barely....,STRESS,Can't rate
10054,Yes,SLEEP,Can't rate
10055,37,WATER,3
10056,8+hrs,SLEEP,4
10057,64 oz,WATER,4
10058,Stress free,STRESS,4
10059,Could've slept more and I was on top of stuff today,SLEEP,Can't rate
10060,7 hrs ,SLEEP,3
10061,Stress free ,STRESS,4
10062,8+ hours ,SLEEP,4
10063,64oz for sure,WATER,4
10064,Handled what was thrown my way,STRESS,3
10065,I did not workout today. ,WORKOUT,Can't rate
10066,"Well: worked a very long day and made extra money
Improve: was very tired and talked myself out of fitness",WORKOUT,Can't rate
10067,On point ,FOOD,4
10068,almost perfect ,FOOD,3
10069,Stress free,STRESS,4
10070,"More like 32oz, but definitely hydrated ",WATER,3
10071,Less than 5,WORKOUT,Can't rate
10072,I did thank u,WATER,Can't rate
10073,Ran 5 miles. Horrible calorie intake today. ,SLEEP,2
10074,7,SLEEP,3
10075,8 hours ,SLEEP,4
10076,Idk what happened I slept until 7am ,SLEEP,3
10077,On point ,FOOD,4
10078,Stress free ,STRESS,4
10079,64oz,WATER,4
10080,I could have been better at waking up on time,SLEEP,3
10081,Nope ,WORKOUT,Can't rate
10082,Need to step it up,FOOD,2
10083,8,SLEEP,4
10084,Not yet ,FOOD,1
